name,accept_rate,outstate,enroll,grad_rate,private,is_elite
Abilene Christian University,0.7421686746987952,7440,721,60,Yes,Not Elite
Adelphi University,0.8801463860933212,12280,512,56,Yes,Not Elite
Adrian College,0.7682072829131653,11250,336,54,Yes,Not Elite
Agnes Scott College,0.8369304556354916,12960,137,59,Yes,Elite
Alaska Pacific University,0.7564766839378239,7560,55,15,Yes,Not Elite
Albertson College,0.8160136286201022,13500,158,55,Yes,Not Elite
Albertus Magnus College,0.9631728045325779,13290,103,63,Yes,Not Elite
Albion College,0.9057398630858347,13868,489,73,Yes,Not Elite
Albright College,0.8082851637764933,15595,227,80,Yes,Not Elite
Alderson-Broaddus College,0.8556701030927835,10468,172,52,Yes,Not Elite
Alfred University,0.8227482678983834,16548,472,73,Yes,Not Elite
Allegheny College,0.7164404223227753,17080,484,76,Yes,Not Elite
Allentown Coll. of St. Francis de Sales,0.6615776081424937,9690,290,74,Yes,Not Elite
Alma College,0.8524072612470402,12572,385,68,Yes,Not Elite
Alverno College,0.6336032388663968,8352,157,55,Yes,Not Elite
American International College,0.7697183098591549,8700,220,69,Yes,Not Elite
Amherst College,0.23059042305904232,19760,418,100,Yes,Elite
Anderson University,0.7467105263157895,10100,423,59,Yes,Not Elite
Andrews University,0.6230088495575221,9996,322,46,Yes,Not Elite
Angelo State University,0.5652542372881356,5130,1016,34,No,Not Elite
Antioch University,0.9270687237026648,15476,252,48,Yes,Not Elite
Appalachian State University,0.6377683577191303,6806,1910,70,No,Not Elite
Aquinas College,0.8336025848142165,11208,219,65,Yes,Not Elite
Arizona State University Main campus,0.8047466625029276,7434,3761,48,No,Not Elite
Arkansas College (Lyon College),0.4717514124293785,8644,166,54,Yes,Not Elite
Arkansas Tech University,0.9971164936562861,3460,951,48,No,Not Elite
Assumption College,0.7962529274004684,12e3,491,88,Yes,Not Elite
Auburn University-Main Campus,0.8997085320614733,6300,3070,69,No,Not Elite
Augsburg College,0.7749244712990937,11902,257,58,Yes,Not Elite
Augustana College IL,0.8823842469398616,13353,497,71,Yes,Not Elite
Augustana College,0.9526938239159002,10990,306,69,Yes,Not Elite
Austin College,0.8417721518987342,11280,295,71,Yes,Not Elite
Averett College,0.886762360446571,9925,172,48,Yes,Not Elite
Baker University,0.8023255813953488,8620,206,65,Yes,Not Elite
Baldwin-Wallace College,0.808284023668639,10995,662,85,Yes,Not Elite
Barat College,0.735632183908046,9690,111,71,Yes,Not Elite
Bard College,0.4387434554973822,19264,285,79,Yes,Not Elite
Barnard College,0.561698717948718,17926,531,91,Yes,Elite
Barry University,0.7919191919191919,11290,279,72,Yes,Not Elite
Baylor University,0.8804938271604938,6450,2367,72,Yes,Not Elite
Beaver College,0.7308684436801376,12850,348,73,Yes,Not Elite
Bellarmine College,0.8760842627013631,8840,308,84,Yes,Not Elite
Belmont Abbey College,0.7816455696202531,9e3,129,52,Yes,Not Elite
Belmont University,0.7983606557377049,7800,481,49,Yes,Not Elite
Beloit College,0.6992424242424242,16304,284,69,Yes,Not Elite
Bemidji State University,0.7259933774834437,4425,546,46,No,Not Elite
Benedictine College,0.9810126582278481,9550,222,58,Yes,Not Elite
Bennington College,0.63005780346820806,21700,114,55,Yes,Not Elite
Bentley College,0.6722446624350836,13800,640,82,Yes,Not Elite
Berry College,0.6571582346609257,8050,480,63,Yes,Not Elite
Bethany College,0.929384965831435,8740,200,48,Yes,Not Elite
Bethel College KS,0.9108910891089109,8540,122,56,Yes,Not Elite
Bethel College,0.7649402390438247,6200,104,35,Yes,Not Elite
Bethune Cookman College,0.6986634264884569,5188,542,58,Yes,Not Elite
Birmingham-Southern College,0.7304347826086957,11660,287,72,Yes,Elite
Blackburn College,0.672,6500,156,51,Yes,Not Elite
Bloomsburg Univ. of Pennsylvania,0.4470692455337369,7844,1025,75,No,Not Elite
Bluefield College,0.9496021220159151,7150,181,53,Yes,Not Elite
Bluffton College,0.7427745664739884,9900,209,58,Yes,Not Elite
Boston University,0.6441660063391442,18420,3810,72,Yes,Not Elite
Bowdoin College,0.3036352800953516,19030,418,96,Yes,Elite
Bowling Green State University,0.7926710625878284,7452,3076,67,No,Not Elite
Bradford College,0.744920993227991,14080,151,46,Yes,Not Elite
Bradley University,0.9062914786302098,10870,1061,85,Yes,Not Elite
Brandeis University,0.65527950310559,19380,740,84,Yes,Not Elite
Brenau University,0.7465940054495913,9592,158,49,Yes,Not Elite
Brewton-Parker College,0.8551532033426184,4371,1202,18,Yes,Not Elite
Briar Cliff College,0.8954081632653061,10260,155,58,Yes,Not Elite
Bridgewater College,0.8031026252983293,10265,292,82,Yes,Not Elite
Brigham Young University at Provo,0.73346911065852,2340,4615,33,Yes,Not Elite
Brown University,0.2573494358811378,19528,1462,97,Yes,Elite
Bryn Mawr College,0.552901023890785,18165,313,89,Yes,Elite
Bucknell University,0.5823152107513745,18550,862,93,Yes,Not Elite
Buena Vista College,0.8,13306,285,78,Yes,Not Elite
Butler University,0.8624047417442845,13130,700,83,Yes,Not Elite
Cabrini College,0.8247078464106845,10518,224,71,Yes,Not Elite
Caldwell College,0.5974282888229476,8900,213,55,Yes,Not Elite
California Lutheran University,0.43872113676731794,12950,247,60,Yes,Not Elite
California Polytechnic-San Luis,0.4886698246063244,7380,1650,59,No,Not Elite
California State University at Fresno,0.7255506607929515,7706,1483,61,No,Not Elite
Calvin College,0.8475336322869955,10230,913,81,Yes,Not Elite
Campbell University,0.6415908001916627,7550,657,63,Yes,Not Elite
Campbellsville College,0.6922169811320755,6060,298,49,Yes,Not Elite
Canisius College,0.768664563617245,10750,753,64,Yes,Not Elite
Capital University,0.7910704064109902,13050,449,83,Yes,Not Elite
Capitol College,0.9,8400,35,52,Yes,Not Elite
Carleton College,0.5861172976985894,19292,489,91,Yes,Elite
Carnegie Mellon University,0.5958982584784601,17900,1191,74,Yes,Elite
Carroll College,0.8543103448275862,12200,352,79,Yes,Not Elite
Carson-Newman College,0.8677007299270073,8150,464,67,Yes,Not Elite
Carthage College,0.8830445544554455,13125,434,62,Yes,Not Elite
Case Western Reserve University,0.8140314676296105,15700,713,67,Yes,Elite
Castleton State College,0.7478122513922036,7656,363,79,No,Not Elite
Catawba College,0.8125577100646353,9270,291,55,Yes,Not Elite
Catholic University of America,0.8352337514253135,13712,505,75,Yes,Not Elite
Cazenovia College,0.8923836755913699,9384,527,118,Yes,Not Elite
Cedar Crest College,0.7822164948453608,14340,198,74,Yes,Not Elite
Cedarville College,0.8339709257842387,7344,616,64,Yes,Not Elite
Centenary College,0.8455284552845529,11400,90,24,Yes,Not Elite
Centenary College of Louisiana,0.8767676767676768,8950,210,66,Yes,Not Elite
Center for Creative Studies,0.6589018302828619,11230,203,47,Yes,Not Elite
Central College,0.8674980514419329,10938,401,67,Yes,Not Elite
