schid,c0110,c0112,c0114,c0116,c0120,c0122,c0124,c0126,c0128,c0130,c0132,c0134,c0136,c0138,c0140,c0141,c0142,c0143,c0144,c0146,c0148,c0150,c0152,c0154,c0156,c0158,c0160,c0162,c0164,c0166,c0168,c0169,c0170,c0171,c0172,c0173,c0174,c0176,c0178,c0180,c0182,c0184,c0186,c0188,c0190,c0192,c0194,c0196,c0198,c0200,c0202,c0204,c0206,c0208,c0210,c0212,c0214,c0216,c0218,c0220,c0222,c0224,c0226,c0228,c0230,c0244,c0246,c0248,c0250,c0252,c0254,c0256,c0258,c0260,c0262,c0264,c0266,c0268,c0270,c0272,c0274,c0276,c0280,c0282,c0284,c0286,c0288,c0290,c0292,c0294,c0296,c0298,c0300,c0302,c0304,c0306,c0308,c0374,c0376,c0378,c0380,c0382,c0384,c0386,c0388,c0390,c0392,c0394,c0396,c0398,c0400,c0402,c0404,c0406,c0408,c0410,c0412,c0414,c0416,c0418,c0420,c0422,c0424,c0426,c0428,c0430,c0432,c0434,c0436,c0438,c0440,c0442,c0444,c0446,c0448,c0450,c0452,c0454,c0456,c0508,c0510,c0512,c0514,c0516,c0518,c0520,c0526,c0528,c0532,c0534,c0536,c0538,c0540_r,c0542_r,c0544_r,c0546_r,c0556_r,c0558_r,c0560,c0562,c0568,c0570,c0572,crisis08,distot08,incid08,incpol08,othact08,outsus08,probwk08,removl08,stuoff08,svinc08,svpol08,transf08,vioinc08,viopol08,disfire08,disweap08,disdrug08,disalc08,disatt08,disins08,ganghate,disrupt,fr_catmn,fr_lvel,fr_size,fr_urban
2,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,4,3,1,1,1,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,2,1,2,1,3,2,2,3,3,2,2,3,2,2,2,2,2,4,2,4,4,5,5,5,5,2,-1,2,-1,1,2,1,1,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,40,0,0,0,40,0,0,15,13,10,40,25,7,6,0,10,0,1,1,2,2,97,94,82,6,74,45,21,74,0,1,0,75,0,0,0,34,15,0,0,0,0,34,40,0,0,4,2,4,2
3,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3,3,2,1,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,3,2,3,2,3,2,3,2,3,1,2,2,2,2,4,2,4,4,5,4,5,5,2,-1,1,2,1,1,1,1,1,1,2,-1,2,-1,1,1,1,2,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,50,0,5,0,45,0,5,1,15,9,50,75,2,11,2,7,0,1,2,3,3,90,105,75,8,71,40,7,60,6,1,0,71,0,0,5,35,4,1,0,0,0,20,50,0,6,3,2,3,2
4,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,-1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,2,3,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,1,1,3,4,4,4,5,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,7,0,1,4,3,0,1,5,9,4,80,95,9,4,0,1,0,4,0,3,3,95,80,84,5,47,37,32,26,20,3,0,57,1,1,1,12,9,0,0,16,0,23,8,0,1,2,3,3,4
6,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,3,2,2,3,3,3,2,3,3,3,2,2,3,2,2,4,3,3,4,5,4,5,5,2,-1,1,2,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,0,0,0,0,0,0,0,35,14,10,50,80,6,4,0,6,0,2,0,3,3,97,58,100,7,10,35,20,10,0,0,0,10,0,0,0,13,3,0,0,0,0,10,0,0,0,4,2,3,3
7,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,-1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,2,4,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,3,2,3,3,3,3,2,1,2,3,1,2,2,2,2,4,2,3,4,5,3,5,5,1,1,1,1,1,2,1,1,1,1,1,1,2,-1,1,1,1,1,1,2,2,-1,1,2,2,-1,2,-1,1,1,1,1,2,-1,204,0,0,20,160,2,0,1,13,13,75,80,5,10,2,10,0,3,0,3,3,95,75,50,4,202,40,26,165,36,1,1,226,0,0,0,18,11,0,0,1,11,10,180,1,0,2,3,4,2
8,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,-1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,4,4,3,3,1,1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,3,3,3,3,3,3,3,1,2,3,3,3,3,2,2,5,4,5,5,5,5,5,5,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,2,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,2,1,1,1,2,1,2,0,0,0,0,0,0,1,18,7,2,70,75,0,2,1,4,1,0,1,3,3,98,40,10,5,1,6,4,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,3,1,3,4
9,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,2,1,2,2,1,2,3,3,3,3,2,2,4,4,3,2,1,2,4,5,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1, ,1,64,0,0,0,15,1,3,45,20,25,75,65,5,20,2,12,0,6,3,2,3,89,50,115,8,27,55,19,15,8,3,1,73,1,0,3,39,10,0,0,1,6,5,15,0,0,4,3,4,2
11,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,-1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,4,4,3,3,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,1,1,1,1,1,2,2,-1,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,6,0,0,0,0,4,0,1,10,15,80,85,6,4,0,6,0,3,0,3,3,97,6,4,4,4,19,10,0,0,0,4,13,0,0,0,9,0,0,0,4,0,0,0,1,0,2,2,3,4
12,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,4,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,3,3,3,2,2,1,3,3,2,2,2,2,2,5,2,4,5,5,4,5,5,2,-1,1,2,1,2,2,-1,2,-1,1,1,2,-1,1,2,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,14,10,80,90,5,7,1,7,3,1,0,3,3,96,13,23,8,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,4
13,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,-1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,4,4,4,3,1,1,2,1,2,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,2,1,2,3,3,3,3,2,3,3,3,3,3,2,2,4,4,4,5,5,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,0,0,0,0,0,0,0,15,21,15,60,80,4,1,1,1,0,1,0,3,3,97,49,35,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,2,2
