schid,c0014_r,c0016_r,c0110,c0112,c0114,c0116,c0120,c0122,c0124,c0126,c0128,c0130,c0132,c0134,c0136,c0138,c0140,c0141,c0142,c0143,c0144,c0146,c0148,c0150,c0152,c0154,c0156,c0158,c0160,c0162,c0164,c0166,c0168,c0169,c0170,c0171,c0172,c0173,c0174,c0176,c0178,c0180,c0182,c0184,c0186,c0188,c0190,c0192,c0194,c0196,c0198,c0200,c0202,c0204,c0206,c0208,c0210,c0212,c0214,c0216,c0218,c0220,c0222,c0224,c0226,c0228,c0230,c0244,c0246,c0248,c0250,c0252,c0254,c0256,c0258,c0260,c0262,c0264,c0266,c0268,c0270,c0272,c0274,c0276,c0280,c0282,c0284,c0286,c0288,c0290,c0292,c0294,c0296,c0298,c0300,c0302,c0304,c0306,c0308,c0374,c0376,c0378,c0380,c0382,c0384,c0386,c0388,c0390,c0392,c0394,c0396,c0398,c0400,c0402,c0404,c0406,c0408,c0410,c0412,c0414,c0416,c0418,c0420,c0422,c0424,c0426,c0428,c0430,c0432,c0434,c0436,c0438,c0440,c0442,c0444,c0446,c0448,c0450,c0452,c0454,c0456,c0508,c0510,c0512,c0514,c0516,c0518,c0520,c0526,c0528,c0532,c0534,c0536,c0538,c0540_r,c0542_r,c0544_r,c0546_r,c0556_r,c0558_r,c0560,c0562,c0568,c0570,c0572,c0578,c0578_dd,c0578_mm,c0578_yy,c0580,crisis08,distot08,incid08,incpol08,othact08,outsus08,probwk08,removl08,strata,stuoff08,svinc08,svpol08,transf08,vioinc08,viopol08,disfire08,disweap08,disdrug08,disalc08,disatt08,disins08,ganghate,disrupt,sec_ft,sec_pt,fr_catmn,fr_lvel,fr_size,fr_urban,finalwgt,repwgt1,repwgt2,repwgt3,repwgt4,repwgt5,repwgt6,repwgt7,repwgt8,repwgt9,repwgt10,repwgt11,repwgt12,repwgt13,repwgt14,repwgt15,repwgt16,repwgt17,repwgt18,repwgt19,repwgt20,repwgt21,repwgt22,repwgt23,repwgt24,repwgt25,repwgt26,repwgt27,repwgt28,repwgt29,repwgt30,repwgt31,repwgt32,repwgt33,repwgt34,repwgt35,repwgt36,repwgt37,repwgt38,repwgt39,repwgt40,repwgt41,repwgt42,repwgt43,repwgt44,repwgt45,repwgt46,repwgt47,repwgt48,repwgt49,repwgt50,ic0110,ic0112,ic0114,ic0116,ic0120,ic0122,ic0124,ic0126,ic0128,ic0130,ic0132,ic0134,ic0136,ic0138,ic0140,ic0141,ic0142,ic0143,ic0144,ic0146,ic0148,ic0150,ic0152,ic0154,ic0156,ic0158,ic0160,ic0162,ic0164,ic0166,ic0168,ic0169,ic0170,ic0171,ic0172,ic0173,ic0174,ic0176,ic0178,ic0180,ic0182,ic0184,ic0186,ic0188,ic0190,ic0192,ic0194,ic0196,ic0198,ic0200,ic0202,ic0204,ic0206,ic0208,ic0210,ic0212,ic0214,ic0216,ic0218,ic0220,ic0222,ic0224,ic0226,ic0228,ic0230,ic0244,ic0246,ic0248,ic0250,ic0252,ic0254,ic0256,ic0258,ic0260,ic0262,ic0264,ic0266,ic0268,ic0270,ic0272,ic0274,ic0276,ic0280,ic0282,ic0284,ic0286,ic0288,ic0290,ic0292,ic0294,ic0296,ic0298,ic0300,ic0302,ic0304,ic0306,ic0308,ic0374,ic0376,ic0378,ic0380,ic0382,ic0384,ic0386,ic0388,ic0390,ic0392,ic0394,ic0396,ic0398,ic0400,ic0402,ic0404,ic0406,ic0408,ic0410,ic0412,ic0414,ic0416,ic0418,ic0420,ic0422,ic0424,ic0426,ic0428,ic0430,ic0432,ic0434,ic0436,ic0438,ic0440,ic0442,ic0444,ic0446,ic0448,ic0450,ic0452,ic0454,ic0456,ic0508,ic0510,ic0512,ic0514,ic0516,ic0518,ic0520,ic0526,ic0528,ic0532,ic0534,ic0536,ic0538,ic0540,ic0542,ic0544,ic0546,ic0556,ic0558,ic0560,ic0562,ic0568,ic0570,ic0572
2,1,5,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,1,2,1,1,2,1,2,1,1,2,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,4,3,1,1,1,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1,1,2,2,1,2,1,3,2,2,3,3,2,2,3,2,2,2,2,2,4,2,4,4,5,5,5,5,2,-1,2,-1,1,2,1,1,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,40,0,0,0,40,0,0,15,13,10,40,25,7,6,0,10,0,1,1,2,2,97,94,82,2272008,27,2,2008,80,6,74,45,21,74,0,1,0,242,75,0,0,0,34,15,0,0,0,0,34,40,0,0,-1,-1,4,2,4,2,12.73629,12.90081,13.015,13.11502,13.08206,13.09857,13.14426,13.10509,13.0247,13.12105,13.00654,12.95059,12.91676,13.01841,13.01394,12.98265,13.07076,12.92378,12.92817,12.98202,13.01929,12.97531,12.91997,12.91335,12.81378,12.98472,12.97499,13.00925,12.8534,12.97504,13.04208,12.92074,12.84255,13.1591,12.94654,12.97389,13.1266,13.11246,0,12.85375,13.06304,12.89055,12.95636,12.98861,13.10668,12.85048,13.01673,13.16586,12.94391,13.00246,12.96833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,1,26,1,1,1,2,2,2,1,1,2,2,2,1,1,1,2,1,2,2,1,2,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,3,4,3,3,2,1,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,1,1,2,3,2,3,2,3,2,3,2,3,1,2,2,2,2,4,2,4,4,5,4,5,5,2,-1,1,2,1,1,1,1,1,1,2,-1,2,-1,1,1,1,2,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,50,0,5,0,45,0,5,1,15,9,50,75,2,11,2,7,0,1,2,3,3,90,105,75,3182008,18,3,2008,90,8,71,40,7,60,6,1,0,232,71,0,0,5,35,4,1,0,0,0,20,50,0,6,-1,-1,3,2,3,2,16.01739,16.4878,16.45865,16.47302,16.48642,16.33027,16.37239,16.37946,16.4039,16.39523,16.55087,16.41756,16.25237,16.3581,16.42295,16.26325,16.21639,16.43007,16.39172,16.38408,16.33882,16.35986,16.25774,16.31668,16.2196,16.22299,16.41237,16.38672,16.48539,16.40969,16.2911,16.32965,16.33454,0,16.32627,16.24302,16.36133,16.27509,16.24694,16.12354,16.42061,16.33198,16.28293,16.32105,16.35036,16.23422,16.23859,16.43191,16.45032,16.34414,16.10286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,10,0,0,0,0,0,0,0
4,1,1,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,2,1,2,1,1,2,1,1,2,-1,1,1,1,1,2,2,2,2,2,1,1,1,2,1,2,1,2,2,3,2,2,1,2,2,2,1,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,3,2,2,3,3,2,2,3,2,3,3,2,2,2,1,1,3,4,4,4,5,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,7,0,1,4,3,0,1,5,9,4,80,95,9,4,0,1,0,4,0,3,3,95,80,84,3132008,13,3,2008,70,5,47,37,32,26,20,3,0,334,57,1,1,1,12,9,0,0,16,0,23,8,0,1,1,0,2,3,3,4,15.46409,15.93453,16.01894,15.68811,16.04288,15.93322,15.82843,15.90453,15.89027,15.96739,15.7111,15.55079,15.90549,15.72386,15.45957,15.83564,15.7882,15.77996,0,15.73295,15.69013,15.61335,15.51271,15.812,15.70051,15.77672,15.69307,15.77057,15.69228,15.82514,15.69059,15.85761,15.57639,15.74557,15.61729,15.68966,15.93812,15.99981,15.83204,15.66923,15.72236,15.82228,15.85159,15.91047,16.01841,16.00246,15.47389,15.81367,15.86591,15.85904,15.61248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,6,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6,1,11,1,1,1,2,2,1,2,2,2,2,2,2,1,1,2,2,2,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,3,2,2,3,3,3,2,3,3,3,2,2,3,2,2,4,3,3,4,5,4,5,5,2,-1,1,2,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,0,0,0,0,0,0,0,35,14,10,50,80,6,4,0,6,0,2,0,3,3,97,58,100,4092008,9,4,2008,,7,10,35,20,10,0,0,0,233,10,0,0,0,13,3,0,0,0,0,10,0,0,0,-1,-1,4,2,3,3,16.45744,16.7729,16.74615,16.73779,16.7635,16.67939,16.71225,16.86956,16.77092,16.65294,0,16.61322,16.79812,16.67989,16.89351,16.49021,16.82242,16.98519,17.14272,16.69559,16.68777,16.57236,16.83296,16.82616,16.94224,16.93169,16.92427,16.80854,16.86713,16.90503,16.66267,16.81775,16.69546,16.8602,16.85292,16.86504,16.73207,16.66991,16.87532,16.76391,16.94132,16.92534,16.80247,16.88376,16.68003,16.71084,16.73851,16.66232,16.71359,16.77048,16.8785,0,0,5,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7,1,3,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,1,2,-1,1,1,2,1,2,1,2,1,1,1,2,1,2,1,2,2,1,2,2,2,4,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,2,1,2,2,1,2,1,3,2,3,3,3,3,2,1,2,3,1,2,2,2,2,4,2,3,4,5,3,5,5,1,1,1,1,1,2,1,1,1,1,1,1,2,-1,1,1,1,1,1,2,2,-1,1,2,2,-1,2,-1,1,1,1,1,2,-1,204,0,0,20,160,2,0,1,13,13,75,80,5,10,2,10,0,3,0,3,3,95,75,50,3052008,5,3,2008,50,4,202,40,26,165,36,1,1,342,226,0,0,0,18,11,0,0,1,11,10,180,1,0,1,3,2,3,4,2,7.742303,7.82458,7.832304,7.821087,7.801394,7.864212,7.956883,7.912131,7.789168,7.96366,7.914078,7.979202,7.953755,7.89951,7.882168,7.873205,7.913376,7.928854,7.911165,7.810433,7.891425,7.881118,7.98407,7.940833,8.038146,8.042397,8.014184,7.986036,7.963709,7.88127,7.908535,7.954031,7.903397,7.833703,7.931961,7.921014,7.905904,7.90398,7.802687,7.850697,7.818506,7.84271,7.952654,7.91673,0,7.959352,7.904962,7.833491,7.693008,7.907536,7.890011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,14,0,14,14,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0
8,1,10,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,2,1,2,2,-1,1,2,1,1,2,2,2,2,1,1,1,2,2,2,2,1,2,2,4,4,3,3,1,1,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,2,2,2,2,3,3,3,3,3,3,3,1,2,3,3,3,3,2,2,5,4,5,5,5,5,5,5,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,2,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,2,1,1,1,2,1,2,0,0,0,0,0,0,1,18,7,2,70,75,0,2,1,4,1,0,1,3,3,98,40,10,3232008,23,3,2008,48,5,1,6,4,0,0,0,0,134,1,0,0,1,0,0,0,0,1,0,0,0,0,0,-1,-1,3,1,3,4,60.4191,61.63135,62.11888,60.14591,60.40034,62.26559,61.66879,61.70879,61.91458,60.92072,62.43311,61.59255,61.94267,61.94992,61.08493,61.32552,62.37909,61.77822,61.61612,61.39571,61.57108,61.21294,61.99508,61.57547,62.37815,60.03712,61.47319,61.17134,62.73246,0,63.07251,62.23405,62.33009,61.95692,61.64341,62.34872,61.5061,60.84882,61.4053,61.70321,61.92606,61.66674,61.15303,61.31989,61.69877,61.12107,61.37988,60.98455,61.50309,61.5695,62.46118,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,6,2,1,1,2,2,2,2,1,2,2,2,2,2,1,1,2,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,3,3,3,2,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,1,2,1,3,2,1,2,2,1,2,3,3,3,3,2,2,4,4,3,2,1,2,4,5,1,1,2,-1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,64,0,0,0,15,1,3,45,20,25,75,65,5,20,2,12,0,6,3,2,3,89,50,115,,,,2008,,8,27,55,19,15,8,3,1,342,73,1,0,3,39,10,0,0,1,6,5,15,0,0,4,0,4,3,4,2,9.797339,9.913236,10.03325,9.938167,9.839992,9.924921,10.00344,9.918057,10.10029,9.956741,10.0733,10.08936,9.931762,10.10299,10.01804,9.961209,10.0269,10.01643,10.01054,9.90106,10.01885,9.939208,10.11654,10.04365,10.1122,10.18049,0,10.05786,10.04797,10.06389,10.03131,9.983498,9.843515,9.922816,9.966759,10.00583,10.04165,9.99956,9.865582,9.936089,10.01967,9.92279,10.02138,9.978962,10.04868,9.990452,9.938726,10.0405,9.932924,9.966984,9.957613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,11,18
11,1,2,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,1,1,2,2,1,1,1,1,2,-1,1,1,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,2,4,4,3,3,2,2,2,1,2,1,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,2,1,2,1,2,3,2,3,2,2,2,2,2,2,2,2,2,4,4,4,5,5,5,5,5,1,1,1,1,1,2,2,-1,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,6,0,0,0,0,4,0,1,10,15,80,85,6,4,0,6,0,3,0,3,3,97,6,4,6032008,3,6,2008,,4,4,19,10,0,0,0,4,234,13,0,0,0,9,0,0,0,4,0,0,0,1,0,0,1,2,2,3,4,15.44608,15.90696,15.80301,15.56855,15.88537,15.76157,15.44228,15.63161,15.76451,15.85971,15.71681,15.65951,15.81681,15.77826,15.53508,15.748,15.65519,15.9667,15.73522,15.69672,15.90237,15.61775,15.58917,15.94642,16.0189,16.07107,15.85915,0,15.75932,15.78266,15.83423,15.81474,15.83945,15.78234,15.58796,15.51583,15.77817,15.64725,16.02446,15.72688,15.69953,15.88445,15.67664,15.95209,15.94479,15.89407,15.49468,15.56065,15.8628,15.6609,15.3622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,1,10,1,1,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,1,4,5,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,2,1,1,1,1,1,1,3,2,3,3,3,2,2,1,3,3,2,2,2,2,2,5,2,4,5,5,4,5,5,2,-1,1,2,1,2,2,-1,2,-1,1,1,2,-1,1,2,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,1,14,10,80,90,5,7,1,7,3,1,0,3,3,96,13,23,3052008,5,3,2008,205,8,0,2,1,0,0,1,0,134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,3,4,76.73576,76.47581,79.46353,77.43018,74.72303,81.70851,79.07426,76.57861,79.9654,75.76823,77.76516,78.39085,78.75745,78.60236,77.54133,77.49882,79.02905,78.17254,77.51234,77.40739,78.27886,77.3904,78.80806,78.08836,78.75957,76.3088,79.91582,76.13531,81.98585,82.63089,0,76.50465,80.20351,80.48283,78.31423,78.94698,77.94021,78.13397,78.27274,77.46458,79.35694,79.27798,78.90134,77.79412,78.19453,78.83102,78.1636,76.73661,78.12093,78.69594,79.43015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0
13,1,6,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,2,-1,1,1,1,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,2,1,2,2,4,4,4,3,1,1,2,1,2,1,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,2,1,2,3,3,3,3,2,3,3,3,3,3,2,2,4,4,4,5,5,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,0,0,0,0,0,0,0,15,21,15,60,80,4,1,1,1,0,1,0,3,3,97,49,35,3132008,13,3,2008,60,4,0,0,0,0,0,0,0,122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,-1,3,1,2,2,89.90325,93.01337,91.11435,92.11642,92.604,92.08888,92.62478,91.71486,92.3018,91.50349,92.15189,92.38103,89.147,89.93026,91.62638,92.21804,91.4286,91.41884,91.04984,90.94997,89.76112,91.76304,91.2588,90.82236,91.0873,89.83191,91.82441,91.87831,90.97007,0,92.16589,91.58897,92.18295,92.1352,92.58411,91.44995,92.73906,93.42873,93.06895,92.21681,93.04863,92.64619,92.80322,91.6665,91.51397,90.74214,91.7918,93.26066,92.01646,91.69833,90.81637,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,6,0,0
