status,category,region,number_of_employees,company_age,number_of_funding_rounds,total_funding_usd,number_of_business_milestones,relationships
ipo,social,Americas,993,9,11,2401437308,5,270
closed,network_hosting,Asia,NA,8,1,791892,4,4
acquired,web,Americas,NA,14,0,0,NA,16
acquired,web,Americas,18,7,3,16665385,4,14
acquired,games_video,Americas,NA,NA,0,0,NA,6
ipo,social,Americas,1287,7,8,1171763304,6,165
acquired,web,Americas,NA,11,4,18314689,5,27
acquired,web,Americas,NA,9,3,17919377,4,7
acquired,games_video,Americas,NA,NA,4,44591804,7,5
acquired,mobile,Americas,NA,8,0,0,NA,13
closed,network_hosting,Americas,NA,7,1,5049813,NA,4
ipo,news,Americas,NA,27,0,0,4,41
ipo,web,Americas,NA,42,0,0,5,47
closed,games_video,Europe,NA,6,1,13068047,NA,5
acquired,web,Americas,51,10,3,28017368,4,27
ipo,network_hosting,Americas,63605,29,1,2475176,5,543
ipo,web,Americas,13743,19,2,6732259,7,991
acquired,search,Americas,61,7,3,22274672,NA,20
acquired,messaging,Europe,NA,NA,1,106556038,8,11
closed,games_video,Americas,NA,6,0,0,NA,5
closed,web,Americas,0,6,0,0,NA,2
acquired,games_video,Americas,NA,9,4,70446355,4,15
acquired,web,Americas,NA,NA,0,0,5,37
closed,web,Americas,NA,7,0,989952,4,3
acquired,enterprise,Americas,504,9,4,120190316,5,38
acquired,web,Americas,NA,NA,1,5251919,NA,6
closed,web,Americas,NA,NA,1,4950036,5,0
acquired,web,Americas,NA,NA,0,0,NA,2
ipo,security,Americas,NA,9,5,179628765,5,21
closed,web,Americas,NA,8,2,4652902,4,3
closed,web,Americas,22,NA,2,8910130,2,8
closed,web,Americas,4,NA,1,99019,2,1
ipo,search,Americas,27740,15,2,24848303,4,1033
acquired,software,Europe,0,10,5,77573143,6,90
acquired,games_video,Americas,NA,8,2,11385655,6,63
acquired,games_video,Asia,NA,7,1,3029663,4,5
acquired,public_relations,Americas,NA,9,1,6059838,NA,3
acquired,web,Americas,NA,10,1,0,7,6
acquired,advertising,Americas,40,7,5,48015527,3,26
acquired,search,Americas,NA,9,4,51973251,6,18
acquired,web,Americas,7,6,1,0,5,6
acquired,games_video,Americas,NA,8,2,8909620,NA,25
closed,web,Europe,NA,9,1,0,3,5
acquired,advertising,Americas,NA,7,9,75056046,NA,21
acquired,games_video,Americas,NA,6,2,25739410,4,10
acquired,search,Americas,30,7,2,6930039,NA,6
acquired,ecommerce,Americas,NA,7,2,5037893,3,3
acquired,web,Americas,NA,13,0,0,3,4
acquired,games_video,Americas,0,7,2,3130874,5,3
acquired,web,Americas,NA,9,0,0,7,104
acquired,mobile,NA,29,7,4,29699620,7,15
acquired,mobile,Americas,NA,8,3,32521371,NA,10
closed,mobile,Americas,NA,7,4,23265748,4,9
closed,games_video,Europe,NA,13,0,0,2,NA
acquired,web,Americas,21,2,2,3938641,NA,3
acquired,games_video,Americas,NA,NA,0,0,4,12
closed,games_video,Europe,NA,7,1,5049879,5,3
acquired,web,Americas,15,8,1,3464793,4,15
acquired,messaging,Americas,304,10,5,52816039,5,20
acquired,games_video,Americas,NA,13,4,25249899,3,7
ipo,games_video,Americas,NA,9,0,0,3,21
acquired,enterprise,Americas,0,7,6,34352952,4,37
closed,ecommerce,Europe,NA,8,1,4040115,4,1
ipo,search,Americas,810,9,7,89068280,8,50
closed,web,Americas,3,6,1,454563,NA,2
closed,web,Americas,NA,7,0,0,3,2
closed,web,Europe,3,7,1,289896,7,2
acquired,web,Americas,22,10,3,11088225,NA,1
closed,web,Americas,NA,7,1,50501,NA,2
acquired,web,Americas,75,14,4,31679537,4,11
acquired,search,Americas,25,10,3,20806838,2,17
acquired,news,Europe,121,8,4,67813213,4,26
acquired,enterprise,Americas,72,9,3,39397511,5,21
acquired,music,Europe,70,12,1,5050213,5,22
acquired,security,Americas,NA,7,2,2121145,3,5
acquired,web,Americas,19,7,1,4059106,5,11
acquired,web,Americas,NA,8,0,0,NA,10
acquired,web,Europe,35,7,2,16160023,2,14
closed,search,Americas,1,8,2,2020094,4,8
acquired,public_relations,Americas,63,7,4,78778704,3,36
acquired,web,Americas,NA,8,1,14849139,3,31
acquired,web,Americas,NA,8,2,56430090,2,6
acquired,web,Americas,NA,16,0,0,NA,17
closed,web,Americas,NA,NA,1,4950127,NA,4
closed,web,Americas,6,8,0,0,2,6
acquired,web,Americas,NA,9,2,8080082,3,16
acquired,web,Americas,NA,9,1,989954,3,10
ipo,web,Americas,NA,14,3,15344980,2,21
closed,advertising,Americas,NA,9,1,1979931,2,6
acquired,advertising,Americas,50,10,4,39996624,3,17
acquired,web,Americas,196,8,5,70698727,4,28
acquired,web,Americas,8,7,1,1237355,NA,5
ipo,social,Americas,990,10,8,197983553,3,119
acquired,web,Americas,NA,13,2,15840040,5,6
acquired,games_video,Americas,28,11,3,16664870,5,22
acquired,web,Americas,NA,37,0,0,4,35
acquired,web,Americas,6,NA,0,0,3,8
ipo,network_hosting,Americas,68,7,6,65338371,4,24
closed,ecommerce,Americas,NA,NA,2,6435082,3,7
acquired,ecommerce,Americas,NA,8,3,4950086,NA,5
acquired,web,Americas,NA,11,2,24453402,5,5
acquired,search,Americas,NA,9,1,6261869,4,5
closed,web,Europe,NA,7,1,5543717,3,3
acquired,web,Americas,13,6,3,15839783,3,23
acquired,web,Americas,10,12,0,0,NA,2
acquired,web,Americas,55,8,3,31511770,5,17
acquired,social,Americas,NA,9,4,22868727,3,17
ipo,web,Americas,NA,19,1,9900180,3,13
closed,web,Americas,6,6,1,0,3,4
acquired,web,Americas,5,14,0,0,NA,2
acquired,network_hosting,Americas,NA,23,1,10890288,5,11
acquired,web,Asia,NA,14,0,0,4,1
acquired,ecommerce,Europe,NA,13,2,5049916,3,15
acquired,web,Americas,2,NA,1,0,3,2
acquired,search,Americas,NA,9,1,302957,NA,2
acquired,social,Americas,120,NA,6,40521752,4,24
acquired,web,Americas,4,9,1,0,3,3
acquired,games_video,Americas,101,10,4,52519451,5,20
acquired,web,Americas,NA,9,1,4950050,5,12
ipo,news,Americas,NA,NA,1,252497533,4,82
acquired,mobile,Americas,NA,13,5,58781717,3,9
ipo,enterprise,Americas,1616,15,1,1514958,4,33
acquired,software,Americas,21,10,1,5939877,4,3
acquired,web,Americas,NA,2,1,0,NA,2
acquired,web,Americas,NA,NA,1,4949904,2,8
acquired,web,Americas,NA,6,0,0,3,0
closed,mobile,Asia,NA,NA,0,0,3,NA
closed,ecommerce,Americas,NA,7,1,1484876,1,6
acquired,social,Americas,25,7,6,44252258,3,16
closed,games_video,Americas,NA,9,1,4949616,2,2
acquired,advertising,Americas,21,8,3,7226882,3,10
ipo,software,Americas,7116,32,0,0,5,189
acquired,network_hosting,Americas,NA,7,2,0,2,5
closed,web,Americas,7,NA,1,2019882,NA,3
acquired,games_video,Americas,NA,NA,1,3464953,1,3
acquired,enterprise,Americas,30,14,0,0,1,1
acquired,web,Americas,NA,NA,0,0,1,3
acquired,web,Americas,NA,8,3,11879663,3,6
ipo,hardware,Americas,182321,67,0,0,4,95
closed,games_video,Americas,NA,NA,1,0,2,2
acquired,photo_video,Americas,NA,10,0,0,2,5
closed,ecommerce,Americas,NA,NA,1,1009939,1,4
acquired,web,Americas,4,7,2,520122,4,6
acquired,web,Americas,NA,8,1,101039,3,9
ipo,ecommerce,Americas,NA,19,1,7920002,5,240
acquired,web,Americas,NA,7,3,11781145,4,9
ipo,semiconductor,Americas,NA,28,0,0,2,70
closed,advertising,Americas,7,NA,1,3960245,3,8
ipo,enterprise,Americas,221,8,6,104130901,3,36
closed,web,Americas,NA,7,1,1515049,3,4
acquired,web,Americas,NA,8,1,0,NA,3
acquired,web,Americas,NA,8,0,0,2,3
acquired,finance,Americas,303034,14,5,198969962,5,156
closed,web,Americas,NA,9,1,5444947,NA,6
acquired,hardware,Americas,85,9,3,36360829,3,11
acquired,web,Americas,NA,NA,3,21186236,3,12
acquired,web,Americas,17,7,4,14256467,5,9
closed,web,Americas,NA,NA,0,0,2,1
acquired,games_video,Americas,18,8,0,0,0,3
ipo,games_video,Americas,25254,91,0,0,6,121
closed,games_video,Americas,NA,8,3,9089918,1,11
closed,games_video,Americas,NA,6,0,0,1,2
acquired,games_video,Americas,NA,7,1,605986,2,6
acquired,web,Americas,NA,NA,1,8584913,2,7
ipo,news,Americas,NA,18,0,0,3,91
ipo,web,Americas,8096,28,1,1010005198,3,383
acquired,network_hosting,Americas,NA,14,2,43935638,4,20
ipo,web,Americas,NA,74,0,0,2,610
acquired,web,Americas,NA,6,2,311807,NA,2
closed,enterprise,Americas,NA,6,5,70700312,5,23
acquired,enterprise,Americas,10,12,0,0,5,12
closed,consulting,Americas,4,1,1,15158,NA,5
closed,web,Americas,NA,NA,0,0,NA,3
closed,games_video,Americas,NA,NA,2,0,5,3
acquired,web,Americas,NA,14,0,0,3,5
closed,games_video,Asia,NA,6,2,4544881,2,2
closed,web,Americas,NA,9,0,0,4,1
acquired,web,Americas,NA,7,0,0,4,3
ipo,news,Americas,NA,33,1,12625531,3,79
acquired,web,Europe,19,9,0,5048999,2,7
acquired,enterprise,Americas,16,7,0,0,3,5
acquired,enterprise,Americas,199,6,0,0,3,4
acquired,network_hosting,Americas,55,13,1,5444650,3,7
acquired,games_video,Americas,NA,9,2,12573161,NA,12
acquired,web,Americas,40,8,5,28016989,4,16
acquired,web,Americas,12,NA,0,0,NA,2
acquired,web,Asia,0,7,1,3167819,NA,2
ipo,enterprise,Americas,988,15,0,0,4,84
acquired,games_video,Americas,NA,NA,1,15144,4,3
acquired,network_hosting,Europe,5,8,1,582455,1,5
acquired,web,Americas,30,8,3,12524122,4,6
closed,web,Americas,NA,NA,1,0,NA,3
acquired,games_video,Americas,NA,NA,3,24749826,3,18
acquired,messaging,Americas,33,6,3,26259920,6,27
closed,web,Americas,5,9,2,1296813,4,3
acquired,enterprise,Asia,51,12,3,22826393,4,55
acquired,games_video,Americas,20,7,4,19189766,NA,5
closed,public_relations,Americas,NA,6,1,459583,NA,5
acquired,network_hosting,Americas,5,6,2,419104,2,7
closed,mobile,Americas,NA,NA,2,262395,2,3
acquired,web,Americas,NA,7,2,212108,4,3
closed,web,Americas,NA,NA,1,15128,2,3
closed,games_video,Americas,NA,6,1,0,2,NA
acquired,web,Americas,NA,NA,1,1930637,3,4
ipo,games_video,Americas,NA,11,2,24239845,4,11
ipo,enterprise,Europe,201,5,2,19800081,6,21
acquired,web,Americas,0,8,0,0,NA,2
closed,search,Americas,NA,NA,0,0,4,6
acquired,advertising,Americas,NA,11,1,5939751,NA,2
acquired,web,Oceania,NA,NA,1,4158312,3,4
acquired,advertising,Americas,NA,12,3,37620777,4,16
acquired,web,Americas,NA,9,1,0,NA,4
acquired,network_hosting,Americas,790,10,0,0,6,178
acquired,public_relations,Americas,NA,6,0,0,4,1
closed,web,Europe,NA,NA,1,0,3,2
acquired,news,Americas,NA,8,0,0,NA,145
ipo,games_video,Americas,NA,NA,0,0,4,29
closed,web,Asia,20,7,1,2970033,5,4
acquired,web,Americas,NA,NA,2,26729414,2,9
acquired,games_video,Americas,NA,NA,2,8414706,NA,11
acquired,web,Americas,1513,14,8,63377485,5,30
closed,games_video,Americas,223,13,2,40400946,3,12
acquired,advertising,Americas,101,7,2,85849593,NA,6
acquired,web,Americas,41,6,2,3960018,4,22
acquired,mobile,Americas,NA,7,3,26764966,4,18
acquired,mobile,Europe,24,NA,2,3883709,2,5
closed,web,Americas,NA,6,2,2227276,2,3
closed,web,Americas,NA,NA,3,8534489,6,1
acquired,games_video,Americas,NA,NA,5,51677849,NA,11
acquired,web,Americas,NA,12,2,7171348,3,3
acquired,web,Americas,NA,10,4,17170278,4,7
closed,web,Americas,NA,NA,2,12726271,4,3
closed,web,Americas,NA,10,1,13433053,5,7
acquired,ecommerce,Asia,NA,14,0,0,6,26
acquired,ecommerce,Americas,NA,14,1,2969982,3,12
acquired,web,Americas,NA,NA,0,0,1,9
acquired,games_video,Americas,NA,6,5,77787934,4,11
acquired,web,Americas,NA,NA,1,23128868,NA,9
acquired,web,Asia,70,12,5,48014638,3,24
ipo,web,Americas,NA,89,0,0,5,51
acquired,web,Americas,NA,NA,0,0,NA,4
acquired,hardware,Americas,NA,25,1,11484146,NA,NA
acquired,advertising,Americas,91,8,4,17776054,NA,18
acquired,web,Europe,199,16,1,25250183,NA,7
acquired,network_hosting,Americas,NA,NA,2,14645159,3,19
acquired,web,Americas,NA,NA,0,0,1,4
acquired,web,Americas,NA,NA,1,6632711,3,10
acquired,mobile,Africa,0,8,0,0,3,1
acquired,web,Americas,NA,11,0,0,NA,10
ipo,software,Americas,3540,14,9,221572770,4,28
ipo,enterprise,Americas,608,13,0,0,5,10
acquired,web,Americas,NA,17,0,0,5,41
ipo,web,Americas,NA,NA,0,0,NA,3
acquired,web,Americas,246,15,0,0,NA,41
acquired,web,Americas,13,15,0,0,NA,2
acquired,web,Americas,NA,53,0,0,NA,19
acquired,web,Europe,NA,15,0,0,4,17
closed,games_video,Americas,14,9,3,44550463,3,8
closed,web,Americas,NA,NA,1,3029846,NA,NA
acquired,ecommerce,Americas,1411,12,0,0,3,46
ipo,web,Americas,NA,18,0,0,2,22
acquired,web,Americas,NA,18,0,0,2,20
closed,ecommerce,Asia,NA,10,4,26866505,3,5
acquired,web,Americas,NA,NA,0,0,2,1
ipo,mobile,Americas,535712,13,0,0,4,397
acquired,web,Americas,260,20,0,0,NA,5
acquired,web,Americas,NA,NA,0,0,NA,14
acquired,web,Americas,NA,33,0,0,1,50
acquired,games_video,Americas,12,18,0,0,4,9
acquired,news,Americas,NA,9,5,21108069,2,4
acquired,advertising,Americas,605,15,0,0,2,48
ipo,web,Americas,544,14,3,48480237,5,25
acquired,web,Americas,NA,NA,0,0,3,11
acquired,web,Americas,NA,NA,0,0,NA,NA
acquired,advertising,Americas,NA,15,0,0,2,18
acquired,advertising,Americas,NA,18,0,0,5,12
closed,mobile,Europe,15,6,1,0,2,3
acquired,web,Americas,NA,NA,2,7920091,NA,14
acquired,advertising,Americas,7,6,3,7821381,3,8
acquired,games_video,Americas,NA,15,0,0,4,12
closed,web,Americas,6,7,1,0,NA,2
ipo,search,Americas,303,12,4,74248815,NA,27
closed,web,Americas,NA,NA,1,0,NA,NA
acquired,web,Americas,NA,NA,0,0,NA,NA
acquired,web,Europe,NA,16,0,0,2,23
acquired,advertising,Americas,NA,7,3,28583407,4,18
acquired,advertising,Americas,NA,9,1,10100164,3,7
acquired,web,Americas,NA,NA,0,0,2,10
acquired,web,Americas,NA,NA,2,18809641,1,16
acquired,network_hosting,Americas,40,10,1,3960227,3,12
acquired,advertising,Americas,NA,NA,0,0,NA,5
acquired,web,Americas,NA,NA,0,0,NA,3
acquired,games_video,Americas,NA,11,2,6930120,4,23
acquired,news,Americas,NA,NA,1,127764488,2,5
acquired,web,Americas,NA,18,1,0,3,32
closed,web,Americas,1,NA,3,12827177,4,4
acquired,enterprise,Americas,NA,7,2,6296655,5,7
acquired,web,Americas,NA,NA,1,0,NA,NA
acquired,web,Europe,NA,13,0,0,4,0
acquired,games_video,Americas,NA,17,0,0,4,80
acquired,software,Americas,NA,7,1,3960042,3,5
acquired,web,Americas,NA,NA,0,0,2,16
acquired,web,Americas,NA,NA,0,0,4,29
acquired,web,Americas,NA,NA,0,0,NA,1
ipo,mobile,Americas,NA,13,0,0,3,18
acquired,web,Americas,NA,NA,0,0,NA,NA
acquired,web,Americas,55,15,1,13365185,1,3
acquired,web,Americas,NA,NA,0,0,2,2
acquired,web,Americas,NA,14,0,0,2,7
acquired,web,Americas,15,6,0,0,NA,7
closed,web,Americas,NA,NA,1,555568,NA,1
acquired,analytics,Americas,NA,8,3,11615145,3,8
closed,games_video,Americas,4,13,1,0,NA,4
closed,games_video,Americas,3,NA,0,0,2,NA
acquired,web,Americas,NA,NA,0,0,NA,2
acquired,web,Americas,NA,NA,1,989908,2,1
acquired,enterprise,Americas,25,7,2,12423438,3,16
closed,web,Europe,3,6,0,0,3,2
acquired,mobile,Americas,21,8,1,7425225,NA,17
acquired,web,Americas,NA,NA,0,0,NA,3
closed,advertising,Americas,NA,NA,0,0,1,7
acquired,web,Americas,30,7,1,6565186,3,15
closed,web,Americas,NA,NA,2,0,NA,1
acquired,ecommerce,Americas,NA,NA,1,3960201,NA,5
acquired,music,Americas,54,10,5,24996453,3,12
acquired,advertising,Americas,NA,7,4,46332258,6,41
acquired,enterprise,Americas,NA,NA,0,0,4,1
acquired,enterprise,Americas,NA,NA,4,40392657,2,19
closed,web,NA,3,6,1,303069,3,3
closed,advertising,Americas,20,11,1,1979999,NA,1
acquired,advertising,Americas,15,6,3,10100045,3,22
closed,software,Europe,29,24,3,14355451,2,9
acquired,web,Americas,NA,NA,0,0,NA,2
acquired,web,Americas,NA,19,0,0,1,3
acquired,web,Americas,NA,NA,0,0,NA,1
closed,web,Americas,0,6,0,0,1,0
ipo,news,Americas,NA,7,7,628779672,5,51
acquired,web,Americas,51,13,3,17226568,3,8
acquired,analytics,Americas,0,7,3,11879912,2,13
acquired,travel,Americas,62,7,3,12969160,5,14
acquired,web,Americas,0,7,0,0,NA,1
closed,software,Americas,0,6,1,0,NA,4
acquired,web,Americas,NA,7,3,0,5,4
closed,web,Americas,14,8,1,0,2,3
closed,web,Americas,NA,6,0,0,2,2
acquired,web,Americas,5,6,0,0,2,5
acquired,web,Americas,NA,NA,2,47976513,2,5
closed,games_video,Americas,NA,NA,2,8079859,2,2
closed,software,Americas,46,6,4,24254527,4,13
closed,web,Americas,NA,6,1,0,NA,5
acquired,advertising,Americas,32,7,3,27027995,4,14
acquired,enterprise,Americas,10,6,1,1576215,NA,6
acquired,advertising,Americas,NA,9,5,31309300,4,14
acquired,web,Americas,NA,NA,0,0,NA,6
ipo,mobile,Europe,126250,NA,0,0,3,208
acquired,web,Americas,NA,NA,0,0,NA,NA
acquired,web,Americas,NA,NA,2,395916,NA,7
acquired,games_video,Americas,NA,6,1,1009953,4,5
closed,web,Americas,NA,8,2,1444001,2,1
closed,network_hosting,Americas,NA,8,2,31678737,4,14
acquired,web,Europe,NA,NA,4,0,3,8
acquired,software,Asia,NA,16,0,0,5,12
acquired,web,Americas,NA,14,0,0,4,5
acquired,web,Americas,NA,15,0,0,2,7
acquired,web,Americas,NA,NA,0,0,NA,1
ipo,web,Americas,NA,18,0,0,5,96
acquired,security,Americas,3614,18,0,0,3,22
acquired,web,Americas,NA,NA,0,0,4,19
acquired,web,Americas,NA,13,3,0,1,8
ipo,games_video,Americas,7826,31,2,98285059,4,164
acquired,mobile,Americas,NA,NA,2,2475193,3,10
acquired,web,Americas,NA,NA,0,0,NA,2
closed,search,Americas,30,8,2,32669493,4,13
acquired,enterprise,Americas,35,13,2,4949178,5,4
acquired,web,Americas,13,7,2,3030303,3,15
closed,web,Americas,15,8,4,6450413,NA,3
acquired,games_video,Americas,12,7,3,9494330,4,5
acquired,web,Europe,0,13,0,0,NA,0
closed,software,Americas,8,7,1,2913964,NA,3
closed,ecommerce,Americas,0,7,2,841532,NA,3
closed,web,Americas,0,7,1,1187939,NA,2
acquired,web,Americas,2,7,1,0,NA,2
closed,mobile,Europe,16,7,2,11733549,3,5
closed,web,Americas,2,7,1,404027,NA,1
acquired,software,Americas,9,8,1,0,NA,4
closed,web,Americas,12,10,0,0,NA,3
closed,web,Americas,8,7,1,705836,NA,2
acquired,health,Americas,NA,7,3,40589580,2,14
closed,mobile,Asia,9,7,4,3787373,NA,5
acquired,web,Americas,0,6,0,0,1,1
ipo,messaging,Americas,NA,10,5,44440324,4,33
ipo,real_estate,Americas,607,8,5,95663165,4,32
closed,web,Americas,NA,6,1,9899611,3,13
closed,social,Americas,14,7,3,4762074,3,3
ipo,enterprise,Americas,NA,34,0,0,5,173
acquired,enterprise,Americas,NA,6,5,89099977,3,24
acquired,mobile,Americas,NA,6,1,11109709,2,6
acquired,games_video,Americas,NA,7,4,46762232,4,12
acquired,network_hosting,Americas,6,7,3,2573821,2,14
closed,software,Oceania,NA,7,1,247434,1,10
acquired,web,Americas,NA,NA,2,15839910,2,3
ipo,hardware,Americas,NA,33,0,0,3,11
acquired,advertising,Americas,NA,14,0,10099533,1,19
acquired,enterprise,Americas,202,10,1,14355464,3,19
acquired,web,Americas,NA,6,1,4949739,3,13
acquired,games_video,Americas,3,NA,0,0,3,2
closed,web,Americas,4,7,1,0,NA,5
acquired,games_video,Americas,25,NA,1,3029925,2,6
acquired,network_hosting,Europe,23,16,0,0,1,4
acquired,enterprise,Americas,30,7,1,0,NA,3
closed,games_video,Americas,4,6,1,0,2,2
closed,ecommerce,Americas,NA,6,1,0,3,1
acquired,web,Europe,2,8,1,0,NA,2
acquired,web,Americas,12,6,2,4040087,1,6
acquired,mobile,Americas,NA,11,3,9553388,4,13
closed,games_video,Europe,NA,NA,0,0,2,NA
acquired,web,Americas,25,8,1,252565,NA,4
closed,network_hosting,Americas,NA,NA,1,643330,3,3
closed,web,Americas,NA,7,2,198032,1,3
acquired,web,Americas,NA,5,3,14140098,4,11
acquired,web,Americas,NA,NA,0,0,3,1
closed,web,Americas,NA,NA,0,0,3,1
ipo,advertising,Americas,NA,9,8,72172301,4,28
ipo,biotech,Americas,NA,NA,0,0,NA,125
acquired,advertising,Americas,32,7,5,17985309,NA,26
acquired,enterprise,Americas,NA,14,3,35443083,4,24
ipo,ecommerce,Americas,NA,30,3,336533641,5,38
closed,web,Americas,4,4,0,0,NA,1
