total_funding_usd,category,number_of_funding_rounds,number_of_business_milestones,relationships,number_of_employees,company_age,region
724900,software,2,1,6,10,2,Americas
0,web,0,1,3,7,2,Americas
1296e4,software,2,1,10,30,11,Americas
0,public_relations,0,NA,NA,NA,3,NA
0,other,0,1,3,10,4,Europe
0,software,0,1,1,1,4,Americas
0,software,0,1,3,NA,1,Americas
1935e4,finance,3,3,5,10,3,Americas
621e3,real_estate,4,1,3,3,4,Americas
0,software,0,1,1,1,15,Americas
0,NA,0,1,1,NA,NA,NA
0,NA,0,1,2,NA,NA,NA
0,advertising,0,1,6,250,14,Europe
24e6,software,2,2,16,100,4,Americas
0,mobile,0,1,2,6,5,Americas
0,search,0,1,2,150,7,Europe
65e4,other,1,NA,NA,NA,NA,NA
27e5,biotech,1,NA,2,NA,3,Europe
0,games_video,0,1,1,8,0,Americas
3051520,software,5,1,4,10,8,Americas
25e4,other,1,2,4,2,1,Americas
1253e3,enterprise,1,1,6,NA,16,Americas
0,consulting,0,1,6,6,13,Europe
0,web,1,NA,NA,NA,NA,NA
0,software,0,1,1,25,23,Americas
0,NA,0,NA,NA,NA,NA,NA
0,NA,0,NA,1,NA,NA,NA
0,search,0,NA,NA,NA,4,NA
36e6,software,1,1,13,NA,13,Asia
0,web,0,2,2,NA,1,Americas
0,software,0,1,1,10,13,Oceania
0,messaging,0,1,3,200,79,Americas
0,travel,0,NA,2,NA,NA,NA
0,NA,0,1,2,NA,3,NA
0,NA,0,1,1,NA,NA,NA
0,web,0,1,2,10,5,Americas
15e5,medical,1,1,4,NA,NA,Americas
0,NA,0,1,12,NA,NA,Asia
0,software,0,1,1,140,15,Europe
1e6,software,1,NA,2,NA,15,Americas
3e5,mobile,1,1,2,NA,7,Americas
19e6,advertising,2,NA,8,35,4,Americas
104e5,web,1,1,8,12,6,Oceania
119999911,software,1,1,2,NA,9,Americas
813e3,cleantech,1,1,2,11,6,Europe
5e6,nonprofit,1,NA,NA,NA,3,Americas
3011e4,semiconductor,2,NA,2,NA,9,Europe
2e6,real_estate,1,1,4,9,6,Americas
0,enterprise,0,1,30,47,9,Americas
27509998,software,2,NA,4,NA,3,Americas
2466995,social,3,2,11,17,5,Americas
151e5,software,4,1,7,30,4,Americas
2e6,enterprise,1,2,11,10,3,Americas
0,public_relations,0,1,1,NA,NA,NA
5e5,web,1,3,2,3,4,Americas
625e4,advertising,4,2,2,12,6,Americas
2e4,software,1,1,2,3,1,Americas
0,NA,0,NA,NA,NA,NA,NA
162622,ecommerce,1,1,4,17,4,Europe
0,security,0,1,3,NA,0,NA
